,company_name,name_of_revenue_stream,paid_to,value_reported
0,Shwe Pyi Tha Gems Trading Faceting,Corporate Income Tax,Internal Revenue Department,0.0
0,Shwe Pyi Tha Gems Trading Faceting,Commercial Tax,Internal Revenue Department,0.0
0,Shwe Pyi Tha Gems Trading Faceting,Customs Duties,Customs Department,0.0
0,Shwe Pyi Tha Gems Trading Faceting,Sales Royalties,Internal Revenue Department,0.0
0,Kyaing International Gems,Sale Split,Myanmar Gems Enterprise,3872030356.7
0,Kyaing International Gems,Sales Royalties,Myanmar Gems Enterprise,1200665653.78
0,Kyaing International Gems,Emporium Fees,Central Comittee,161961936.26
0,Kyaing International Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kyaing International Gems,Production Royalties,Myanmar Gems Enterprise,73461650.0
0,Kyaing International Gems,Production Royalties,Department of Mines,0.0
0,Kyaing International Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Kyaing International Gems,Incentive Fees,Myanmar Gems Enterprise,154370969.84
0,Kyaing International Gems,Commercial Tax,Myanmar Gems Enterprise,2610227535.06
0,Kyaing International Gems,Corporate Income Tax,Internal Revenue Department,2503145.0
0,Kyaing International Gems,Commercial Tax,Internal Revenue Department,0.0
0,Kyaing International Gems,Customs Duties,Customs Department,0.0
0,Kyaing International Gems,Sales Royalties,Internal Revenue Department,0.0
0,Linn Lett Win Yadanar Gems,Sale Split,Myanmar Gems Enterprise,3717404922.92
0,Linn Lett Win Yadanar Gems,Sales Royalties,Myanmar Gems Enterprise,1037710703.58
0,Linn Lett Win Yadanar Gems,Emporium Fees,Central Comittee,164995236.2
0,Linn Lett Win Yadanar Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Linn Lett Win Yadanar Gems,Production Royalties,Myanmar Gems Enterprise,907416320.0
0,Linn Lett Win Yadanar Gems,Production Royalties,Department of Mines,0.0
0,Linn Lett Win Yadanar Gems,Permit Fees,Myanmar Gems Enterprise,338170000.0
0,Linn Lett Win Yadanar Gems,Incentive Fees,Myanmar Gems Enterprise,133419619.1
0,Linn Lett Win Yadanar Gems,Commercial Tax,Myanmar Gems Enterprise,2601503815.28
0,Linn Lett Win Yadanar Gems,Corporate Income Tax,Internal Revenue Department,179293978.0
0,Linn Lett Win Yadanar Gems,Commercial Tax,Internal Revenue Department,1561283.0
0,Linn Lett Win Yadanar Gems,Customs Duties,Customs Department,66337134.0
0,Linn Lett Win Yadanar Gems,Sales Royalties,Internal Revenue Department,0.0
0,Richest Gems CoLtd,Sale Split,Myanmar Gems Enterprise,3425574502.92
0,Richest Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,1071891069.12
0,Richest Gems CoLtd,Emporium Fees,Central Comittee,153424774.42
0,Richest Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
