,company_name,name_of_revenue_stream,paid_to,value_reported
0,Wai Aung Gabar Gems Co Ltd,Incentive Fees,Myanmar Gems Enterprise,140876710.26
0,Wai Aung Gabar Gems Co Ltd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Wai Aung Gabar Gems Co Ltd,Corporate Income Tax,Internal Revenue Department,145414895.0
0,Wai Aung Gabar Gems Co Ltd,Commercial Tax,Internal Revenue Department,367371438.0
0,Wai Aung Gabar Gems Co Ltd,Customs Duties,Customs Department,151683240.0
0,Wai Aung Gabar Gems Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Ayar Jade Co Ltd,Sale Split,Myanmar Gems Enterprise,5769339940.84
0,Ayar Jade Co Ltd,Sales Royalties,Myanmar Gems Enterprise,1076941738.73
0,Ayar Jade Co Ltd,Emporium Fees,Central Comittee,164872940.81
0,Ayar Jade Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Ayar Jade Co Ltd,Production Royalties,Myanmar Gems Enterprise,183728520.0
0,Ayar Jade Co Ltd,Production Royalties,Department of Mines,0.0
0,Ayar Jade Co Ltd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Ayar Jade Co Ltd,Incentive Fees,Myanmar Gems Enterprise,138464135.81
0,Ayar Jade Co Ltd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Ayar Jade Co Ltd,Corporate Income Tax,Internal Revenue Department,0.0
0,Ayar Jade Co Ltd,Commercial Tax,Internal Revenue Department,1111279260.0
0,Ayar Jade Co Ltd,Customs Duties,Customs Department,0.0
0,Ayar Jade Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Myat Yamon Gems CoLtd,Sale Split,Myanmar Gems Enterprise,5572468128.33
0,Myat Yamon Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,1059697185.69
0,Myat Yamon Gems CoLtd,Emporium Fees,Central Comittee,182701053.92
0,Myat Yamon Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myat Yamon Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,17139980.0
0,Myat Yamon Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Myat Yamon Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,800000.0
0,Myat Yamon Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,129921228.58
0,Myat Yamon Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Myat Yamon Gems CoLtd,Corporate Income Tax,Internal Revenue Department,5605202.0
0,Myat Yamon Gems CoLtd,Commercial Tax,Internal Revenue Department,0.0
0,Myat Yamon Gems CoLtd,Customs Duties,Customs Department,40702317.0
0,Myat Yamon Gems CoLtd,Sales Royalties,Internal Revenue Department,0.0
0,Kyauk Seinn Nagar Gems,Sale Split,Myanmar Gems Enterprise,5481799277.55
0,Kyauk Seinn Nagar Gems,Sales Royalties,Myanmar Gems Enterprise,1069317247.57
0,Kyauk Seinn Nagar Gems,Emporium Fees,Central Comittee,156930479.07
0,Kyauk Seinn Nagar Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kyauk Seinn Nagar Gems,Production Royalties,Myanmar Gems Enterprise,0.0
0,Kyauk Seinn Nagar Gems,Production Royalties,Department of Mines,0.0
0,Kyauk Seinn Nagar Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Kyauk Seinn Nagar Gems,Incentive Fees,Myanmar Gems Enterprise,133426075.64
0,Kyauk Seinn Nagar Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Kyauk Seinn Nagar Gems,Corporate Income Tax,Internal Revenue Department,10470602.0
0,Kyauk Seinn Nagar Gems,Commercial Tax,Internal Revenue Department,0.0
0,Kyauk Seinn Nagar Gems,Customs Duties,Customs Department,0.0
0,Kyauk Seinn Nagar Gems,Sales Royalties,Internal Revenue Department,0.0
0,Myanmar Sithu Jewellery,Sale Split,Myanmar Gems Enterprise,4345327526.54
0,Myanmar Sithu Jewellery,Sales Royalties,Myanmar Gems Enterprise,862168439.99
0,Myanmar Sithu Jewellery,Emporium Fees,Central Comittee,116438527.92
0,Myanmar Sithu Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanmar Sithu Jewellery,Production Royalties,Myanmar Gems Enterprise,85827150.0
0,Myanmar Sithu Jewellery,Production Royalties,Department of Mines,0.0
0,Myanmar Sithu Jewellery,Permit Fees,Myanmar Gems Enterprise,0.0
0,Myanmar Sithu Jewellery,Incentive Fees,Myanmar Gems Enterprise,110849922.04
0,Myanmar Sithu Jewellery,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Myanmar Sithu Jewellery,Corporate Income Tax,Internal Revenue Department,221274971.0
0,Myanmar Sithu Jewellery,Commercial Tax,Internal Revenue Department,549791561.0
0,Myanmar Sithu Jewellery,Customs Duties,Customs Department,193333801.0
0,Myanmar Sithu Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Linn Lett Win Yadanar Gems,Sale Split,Myanmar Gems Enterprise,4164646611.43
0,Linn Lett Win Yadanar Gems,Sales Royalties,Myanmar Gems Enterprise,843239494.24
0,Linn Lett Win Yadanar Gems,Emporium Fees,Central Comittee,110872598.98
0,Linn Lett Win Yadanar Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Linn Lett Win Yadanar Gems,Production Royalties,Myanmar Gems Enterprise,127335200.0
0,Linn Lett Win Yadanar Gems,Production Royalties,Department of Mines,0.0
0,Linn Lett Win Yadanar Gems,Permit Fees,Myanmar Gems Enterprise,433960000.0
